field_key,component_name,lv2_scope,requiredness,source_file
simplificationGuidelines,activity_slides,ACT-002,optional,lv2_central_brain/activity_002.md
skipPolicy,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
slideId,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
slug,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
sourceVersion,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
styleConstraints,activity_slides,ACT-002,optional,lv2_central_brain/activity_002.md
subtitle,activity_slides,ACT-002,optional,lv2_central_brain/activity_002.md
successCriteria,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
syllableBreakdown,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
tags,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
targetedEdges,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
targetedNodes,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
targetedSlices,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
targetLanguage,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
targetNodeKeys,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
teacherNotes,activity_slides,ACT-002,optional,lv2_central_brain/activity_002.md
teacherOverview,activity_slides,ACT-002,optional,lv2_central_brain/activity_002.md
telemetryTags,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
textSubtype,activity_slides,ACT-002,optional,lv2_central_brain/activity_002.md
timeExpectationActivity,activity_slides,ACT-002,optional,lv2_central_brain/activity_002.md
title,activity_slides,ACT-002,optional,lv2_central_brain/activity_002.md
topicCategory,activity_slides,ACT-002,optional,lv2_central_brain/activity_002.md
type,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
version,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
visibility,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
vocabularyTheme,activity_slides,ACT-002,optional,lv2_central_brain/activity_002.md
activityId,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
aiInstructions,activity_slides,ACT-003,optional,lv2_central_brain/activity_003.md
allowRetry,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
allowSkip,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
anecdoteOrMemoryHook,activity_slides,ACT-003,optional,lv2_central_brain/activity_003.md
assessmentPlan,activity_slides,ACT-003,optional,lv2_central_brain/activity_003.md
audienceNotes,activity_slides,ACT-003,optional,lv2_central_brain/activity_003.md
audioA,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
audioB,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
